trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
42,False,"{'a': 0.002, 'e': 0.9194312560951247}",25,3,-70.71772089606927,"{0: 16, 1: 2, 2: 2, 3: 1, 4: 1}",1
43,False,"{'a': 0.002, 'e': 0.9175942312201509}",30,0,-205.2335759128835,"{0: 16, 1: 3, 2: 7, 3: 1, 4: 3}",0
44,False,"{'a': 0.002, 'e': 0.9157608767233256}",25,0,-35.639906432688775,"{0: 18, 1: 2, 2: 5, 3: 0, 4: 0}",0
45,False,"{'a': 0.002, 'e': 0.9139311852712282}",20,0,-116.7950994452098,"{0: 12, 1: 4, 2: 1, 3: 1, 4: 2}",0
46,False,"{'a': 0.002, 'e': 0.9121051495450904}",20,0,-127.6410946535755,"{0: 9, 1: 3, 2: 6, 3: 1, 4: 1}",0
47,False,"{'a': 0.002, 'e': 0.910282762240767}",30,4,-240.83561523934398,"{0: 10, 1: 5, 2: 7, 3: 0, 4: 4}",1
48,False,"{'a': 0.002, 'e': 0.9084640160687062}",25,0,-145.104579387522,"{0: 12, 1: 2, 2: 9, 3: 1, 4: 1}",0
49,False,"{'a': 0.002, 'e': 0.9066489037539209}",25,0,-62.86319482417766,"{0: 19, 1: 2, 2: 3, 3: 0, 4: 1}",0
50,False,"{'a': 0.002, 'e': 0.9048374180359595}",30,0,-231.6711818113617,"{0: 17, 1: 4, 2: 2, 3: 4, 4: 3}",0
51,False,"{'a': 0.002, 'e': 0.9030295516688768}",20,0,-109.53436795474363,"{0: 14, 1: 1, 2: 2, 3: 1, 4: 2}",0
52,False,"{'a': 0.002, 'e': 0.9012252974212047}",20,0,-121.82904455433719,"{0: 13, 1: 1, 2: 3, 3: 1, 4: 2}",0
53,False,"{'a': 0.002, 'e': 0.899424648075924}",25,0,-101.42588857861197,"{0: 16, 1: 2, 2: 5, 3: 1, 4: 1}",0
54,False,"{'a': 0.002, 'e': 0.8976275964304349}",25,0,-130.0134655477887,"{0: 13, 1: 2, 2: 9, 3: 0, 4: 1}",0
55,False,"{'a': 0.002, 'e': 0.8958341352965282}",20,0,-35.774736977697074,"{0: 13, 1: 4, 2: 3, 3: 0, 4: 0}",0
56,False,"{'a': 0.002, 'e': 0.8940442575003572}",25,0,-125.46153550398226,"{0: 16, 1: 3, 2: 3, 3: 1, 4: 2}",0
57,False,"{'a': 0.002, 'e': 0.8922579558824083}",30,0,-203.6220376850844,"{0: 17, 1: 1, 2: 8, 3: 1, 4: 3}",0
58,False,"{'a': 0.002, 'e': 0.8904752232974726}",20,0,-74.20391162588062,"{0: 13, 1: 3, 2: 3, 3: 0, 4: 1}",0
59,False,"{'a': 0.002, 'e': 0.8886960526146174}",20,0,-151.57211905803382,"{0: 11, 1: 3, 2: 3, 3: 0, 4: 3}",0
60,False,"{'a': 0.002, 'e': 0.8869204367171575}",20,0,-120.91668623349604,"{0: 12, 1: 3, 2: 2, 3: 1, 4: 2}",0
61,False,"{'a': 0.002, 'e': 0.8851483685026271}",20,0,-159.24346201038722,"{0: 10, 1: 3, 2: 4, 3: 0, 4: 3}",0
62,False,"{'a': 0.002, 'e': 0.8833798408827509}",30,0,-127.97835952407203,"{0: 17, 1: 6, 2: 4, 3: 2, 4: 1}",0
63,False,"{'a': 0.002, 'e': 0.8816148467834161}",20,9,-53.39379687046709,"{0: 7, 1: 1, 2: 2, 3: 0, 4: 1}",1
64,False,"{'a': 0.002, 'e': 0.8798533791446438}",30,0,-43.004335681811355,"{0: 21, 1: 6, 2: 2, 3: 1, 4: 0}",0
65,False,"{'a': 0.002, 'e': 0.8780954309205613}",30,0,-196.69662128605623,"{0: 18, 1: 5, 2: 3, 3: 0, 4: 4}",0
66,False,"{'a': 0.002, 'e': 0.8763409950793732}",25,0,-68.89263524618886,"{0: 17, 1: 2, 2: 4, 3: 2, 4: 0}",0
67,False,"{'a': 0.002, 'e': 0.874590064603334}",30,0,-127.168929051563,"{0: 18, 1: 3, 2: 6, 3: 2, 4: 1}",0
68,False,"{'a': 0.002, 'e': 0.8728426324887193}",20,0,-79.15067294510511,"{0: 13, 1: 1, 2: 5, 3: 0, 4: 1}",0
69,False,"{'a': 0.002, 'e': 0.8710986917457983}",25,0,-243.13600134597885,"{0: 10, 1: 5, 2: 5, 3: 1, 4: 4}",0
